iter	Passed	Remaining
0	9	9101
1	19	9505
2	29	9777
3	40	10140
4	50	10045
5	63	10543
6	77	10982
7	91	11352
8	107	11828
9	122	12105
10	135	12172
11	153	12613
12	165	12567
13	177	12478
14	189	12459
15	201	12397
16	215	12480
17	230	12601
18	245	12680
19	257	12622
20	271	12634
21	284	12637
22	297	12617
23	308	12550
24	322	12559
25	345	12949
26	367	13229
27	384	13351
28	398	13342
29	411	13297
30	425	13297
31	437	13245
32	452	13265
33	469	13337
34	482	13315
35	497	13324
36	509	13268
37	523	13249
38	536	13207
39	547	13132
40	559	13078
41	576	13150
42	588	13090
43	600	13044
44	617	13112
45	632	13126
46	644	13069
47	656	13013
48	664	12903
49	676	12844
50	688	12812
51	700	12776
52	715	12781
53	728	12761
54	741	12734
55	753	12702
56	765	12671
57	778	12650
58	796	12695
59	807	12655
60	821	12640
61	836	12654
62	849	12630
63	861	12599
64	874	12582
65	887	12562
66	899	12529
67	915	12552
68	920	12419
69	933	12398
70	946	12388
71	959	12368
72	972	12348
73	984	12324
74	996	12292
75	1009	12275
76	1027	12320
77	1040	12297
78	1056	12318
79	1062	12215
80	1075	12199
81	1086	12165
82	1098	12141
83	1115	12167
84	1127	12138
85	1144	12158
86	1156	12133
87	1169	12119
88	1182	12101
89	1196	12101
90	1212	12113
91	1227	12112
92	1242	12116
93	1256	12112
94	1269	12096
95	1280	12060
96	1293	12041
97	1303	12001
98	1314	11959
99	1324	11919
100	1336	11898
101	1349	11884
102	1364	11878
103	1375	11846
104	1385	11806
105	1400	11811
106	1410	11768
107	1421	11742
108	1434	11723
109	1446	11704
110	1458	11677
111	1468	11643
112	1480	11621
113	1492	11598
114	1502	11561
115	1514	11541
116	1525	11514
117	1545	11553
118	1559	11542
119	1569	11508
120	1583	11503
121	1594	11475
122	1604	11442
123	1618	11433
124	1630	11416
125	1642	11392
126	1653	11364
127	1664	11339
128	1686	11386
129	1697	11357
130	1707	11329
131	1718	11303
132	1731	11289
133	1742	11261
134	1753	11235
135	1764	11208
136	1777	11199
137	1788	11170
138	1800	11150
139	1810	11124
140	1827	11133
141	1842	11131
142	1852	11104
143	1863	11076
144	1875	11061
145	1887	11038
146	1898	11014
147	1909	10990
148	1922	10982
149	1934	10961
150	1945	10936
151	1954	10906
152	1972	10917
153	1983	10895
154	1994	10874
155	2005	10849
156	2019	10843
157	2030	10819
158	2040	10792
159	2050	10765
160	2062	10750
161	2075	10737
162	2086	10712
163	2096	10686
164	2108	10672
165	2126	10682
166	2137	10663
167	2148	10641
168	2163	10639
169	2176	10624
170	2187	10603
171	2201	10596
172	2214	10588
173	2221	10545
174	2231	10518
175	2241	10494
176	2256	10492
177	2267	10469
178	2276	10442
179	2287	10418
180	2297	10394
181	2311	10389
182	2323	10372
183	2336	10362
184	2348	10345
185	2358	10322
186	2370	10306
187	2382	10290
188	2393	10268
189	2407	10265
190	2420	10254
191	2431	10234
192	2442	10214
193	2453	10193
194	2465	10176
195	2476	10157
196	2486	10134
197	2497	10116
198	2509	10099
199	2520	10080
200	2530	10057
201	2540	10037
202	2560	10052
203	2572	10039
204	2583	10020
205	2594	10001
206	2605	9983
207	2615	9959
208	2625	9937
209	2635	9915
210	2647	9899
211	2653	9864
212	2663	9841
213	2674	9822
214	2684	9803
215	2696	9785
216	2710	9779
217	2719	9755
218	2730	9738
219	2741	9718
220	2751	9700
221	2762	9680
222	2772	9661
223	2783	9643
224	2795	9629
225	2805	9609
226	2816	9590
227	2826	9570
228	2830	9531
229	2844	9521
230	2854	9504
231	2866	9490
232	2880	9480
233	2891	9464
234	2902	9447
235	2912	9429
236	2923	9410
237	2932	9389
238	2942	9370
239	2952	9349
240	2963	9334
241	2975	9318
242	3034	9452
243	3055	9466
244	3116	9603
245	3177	9740
246	3251	9912
247	3264	9898
248	3278	9887
249	3321	9964
250	3338	9961
251	3357	9965
252	3369	9949
253	3383	9938
254	3398	9928
255	3409	9908
256	3420	9888
257	3426	9855
258	3436	9833
259	3446	9810
260	3458	9792
261	3467	9768
262	3478	9747
263	3488	9724
264	3498	9704
265	3506	9674
266	3515	9650
267	3527	9634
268	3543	9629
269	3554	9609
270	3568	9599
271	3580	9584
272	3591	9563
273	3603	9547
274	3614	9527
275	3624	9508
276	3634	9485
277	3645	9467
278	3656	9450
279	3669	9435
280	3689	9441
281	3700	9420
282	3710	9401
283	3720	9380
284	3731	9361
285	3742	9342
286	3752	9322
287	3763	9304
288	3774	9285
289	3783	9264
290	3795	9246
291	3808	9234
292	3818	9212
293	3831	9200
294	3842	9181
295	3852	9162
296	3862	9142
297	3873	9123
298	3883	9103
299	3893	9085
300	3903	9065
301	3914	9046
302	3920	9019
303	3931	9001
304	3943	8984
305	3954	8967
306	3964	8949
307	3978	8938
308	3988	8918
309	3998	8900
310	4009	8882
311	4018	8862
312	4030	8847
313	4042	8831
314	4052	8813
315	4063	8795
316	4073	8777
317	4085	8761
318	4096	8744
319	4105	8724
320	4116	8707
321	4130	8696
322	4140	8677
323	4150	8659
324	4159	8639
325	4170	8621
326	4181	8606
327	4191	8587
328	4200	8567
329	4211	8549
330	4221	8531
331	4231	8514
332	4241	8495
333	4253	8481
334	4269	8475
335	4281	8460
336	4293	8446
337	4305	8432
338	4317	8418
339	4326	8399
340	4337	8381
341	4347	8364
342	4357	8347
343	4370	8334
344	4382	8320
345	4396	8310
346	4413	8305
347	4425	8291
348	4437	8276
349	4446	8257
350	4457	8242
351	4469	8227
352	4479	8210
353	4489	8192
354	4501	8179
355	4515	8169
356	4529	8157
357	4539	8140
358	4554	8132
359	4563	8112
360	4572	8094
361	4582	8076
362	4591	8058
363	4601	8040
364	4613	8026
365	4627	8015
366	4638	8000
367	4649	7985
368	4655	7961
369	4665	7944
370	4675	7927
371	4683	7907
372	4693	7890
373	4708	7881
374	4721	7868
375	4734	7856
376	4745	7841
377	4756	7827
378	4767	7811
379	4776	7793
380	4787	7777
381	4797	7761
382	4808	7746
383	4819	7730
384	4828	7713
385	4838	7696
386	4855	7690
387	4866	7675
388	4876	7659
389	4886	7643
390	4896	7626
391	4907	7610
392	4917	7595
393	4928	7580
394	4938	7563
395	4948	7548
396	4961	7535
397	4971	7520
398	4982	7505
399	4994	7491
400	5008	7481
401	5018	7464
402	5028	7448
403	5037	7432
404	5048	7416
405	5059	7401
406	5071	7389
407	5083	7376
408	5094	7361
409	5104	7345
410	5116	7331
411	5126	7316
412	5141	7308
413	5152	7292
414	5161	7275
415	5171	7259
416	5181	7243
417	5191	7228
418	5203	7214
419	5216	7203
420	5226	7188
421	5237	7173
422	5248	7159
423	5256	7141
424	5272	7132
425	5290	7129
426	5308	7123
427	5320	7110
428	5332	7097
429	5344	7084
430	5358	7074
431	5370	7060
432	5380	7045
433	5392	7032
434	5414	7032
435	5426	7019
436	5437	7005
437	5451	6994
438	5462	6980
439	5472	6964
440	5482	6949
441	5492	6934
442	5502	6918
443	5513	6903
444	5523	6889
445	5534	6874
446	5544	6859
447	5555	6845
448	5565	6829
449	5575	6814
450	5590	6805
451	5600	6790
452	5610	6775
453	5620	6759
454	5631	6745
455	5644	6733
456	5657	6722
457	5669	6708
458	5680	6695
459	5690	6680
460	5700	6665
461	5710	6649
462	5720	6634
463	5735	6625
464	5745	6610
465	5756	6595
466	5771	6586
467	5782	6573
468	5793	6559
469	5803	6544
470	5814	6530
471	5826	6518
472	5836	6503
473	5847	6489
474	5857	6473
475	5869	6461
476	5888	6456
477	5898	6441
478	5909	6427
479	5919	6412
480	5925	6393
481	5936	6379
482	5948	6366
483	5958	6352
484	5969	6338
485	5979	6324
486	5991	6310
487	6003	6298
488	6014	6285
489	6024	6270
490	6037	6259
491	6047	6244
492	6058	6230
493	6068	6216
494	6079	6202
495	6089	6187
496	6100	6174
497	6113	6162
498	6123	6148
499	6134	6134
500	6145	6120
501	6155	6106
502	6169	6096
503	6179	6081
504	6188	6066
505	6199	6052
506	6204	6032
507	6213	6018
508	6226	6006
509	6239	5995
510	6257	5988
511	6268	5974
512	6280	5961
513	6291	5948
514	6302	5935
515	6318	5926
516	6329	5913
517	6341	5900
518	6352	5887
519	6363	5874
520	6376	5862
521	6386	5848
522	6400	5837
523	6411	5824
524	6423	5811
525	6434	5798
526	6440	5780
527	6453	5769
528	6471	5761
529	6482	5748
530	6495	5736
531	6507	5724
532	6517	5710
533	6527	5696
534	6542	5686
535	6553	5673
536	6565	5660
537	6575	5646
538	6589	5635
539	6599	5622
540	6613	5611
541	6624	5597
542	6637	5585
543	6647	5572
544	6657	5558
545	6667	5544
546	6679	5531
547	6692	5520
548	6705	5508
549	6716	5494
550	6728	5482
551	6740	5470
552	6755	5460
553	6766	5447
554	6779	5436
555	6791	5423
556	6802	5410
557	6816	5399
558	6830	5388
559	6842	5376
560	6854	5363
561	6866	5351
562	6878	5339
563	6894	5330
564	6906	5317
565	6917	5304
566	6930	5292
567	6941	5279
568	6951	5265
569	6962	5252
570	6975	5240
571	6986	5227
572	6998	5215
573	7008	5201
574	7024	5191
575	7044	5185
576	7048	5167
577	7058	5153
578	7072	5142
579	7082	5128
580	7093	5115
581	7103	5101
582	7114	5089
583	7127	5077
584	7136	5062
585	7148	5049
586	7159	5037
587	7174	5026
588	7187	5015
589	7199	5003
590	7212	4991
591	7227	4981
592	7240	4969
593	7250	4955
594	7263	4943
595	7274	4931
596	7284	4917
597	7295	4904
598	7307	4891
599	7320	4880
600	7335	4870
601	7347	4857
602	7360	4845
603	7372	4833
604	7382	4820
605	7396	4808
606	7407	4795
607	7418	4783
608	7428	4769
609	7438	4756
610	7449	4742
611	7459	4729
612	7473	4718
613	7483	4704
614	7495	4692
615	7505	4678
616	7517	4666
617	7529	4654
618	7540	4641
619	7550	4628
620	7561	4614
621	7571	4601
622	7581	4587
623	7592	4574
624	7601	4561
625	7616	4550
626	7626	4537
627	7637	4523
628	7647	4510
629	7657	4497
630	7667	4483
631	7677	4470
632	7688	4457
633	7699	4445
634	7708	4430
635	7719	4418
636	7730	4405
637	7743	4393
638	7757	4382
639	7767	4369
640	7777	4356
641	7789	4343
642	7799	4330
643	7809	4317
644	7819	4303
645	7829	4290
646	7841	4278
647	7853	4266
648	7863	4252
649	7875	4240
650	7885	4227
651	7900	4216
652	7910	4203
653	7920	4190
654	7930	4177
655	7939	4163
656	7949	4150
657	7962	4138
658	7976	4127
659	7990	4116
660	8000	4103
661	8011	4090
662	8022	4077
663	8032	4064
664	8047	4053
665	8057	4040
666	8069	4028
667	8083	4017
668	8093	4004
669	8106	3992
670	8117	3979
671	8127	3967
672	8137	3953
673	8147	3940
674	8156	3927
675	8167	3914
676	8178	3902
677	8199	3893
678	8211	3881
679	8221	3869
680	8235	3857
681	8245	3844
682	8255	3831
683	8262	3817
684	8273	3804
685	8283	3791
686	8294	3778
687	8304	3766
688	8315	3753
689	8325	3740
690	8335	3727
691	8350	3716
692	8361	3704
693	8368	3689
694	8379	3677
695	8391	3665
696	8401	3652
697	8411	3639
698	8425	3628
699	8434	3614
700	8444	3601
701	8455	3589
702	8465	3576
703	8478	3564
704	8488	3552
705	8499	3539
706	8509	3526
707	8520	3513
708	8532	3502
709	8545	3490
710	8558	3478
711	8570	3466
712	8580	3453
713	8589	3440
714	8599	3427
715	8610	3415
716	8626	3404
717	8636	3391
718	8648	3379
719	8661	3368
720	8672	3355
721	8683	3343
722	8693	3330
723	8703	3318
724	8714	3305
725	8725	3292
726	8735	3280
727	8745	3267
728	8756	3254
729	8777	3246
730	8791	3235
731	8801	3222
732	8811	3209
733	8822	3197
734	8831	3184
735	8842	3171
736	8853	3159
737	8864	3147
738	8874	3134
739	8888	3123
740	8897	3109
741	8908	3097
742	8923	3086
743	8934	3074
744	8943	3061
745	8953	3048
746	8964	3036
747	8974	3023
748	8983	3010
749	8993	2997
750	9003	2985
751	9013	2972
752	9023	2959
753	9033	2947
754	9044	2934
755	9059	2924
756	9070	2911
757	9080	2899
758	9091	2886
759	9101	2874
760	9113	2862
761	9125	2850
762	9135	2837
763	9145	2825
764	9157	2813
765	9169	2801
766	9179	2788
767	9190	2776
768	9204	2764
769	9214	2752
770	9224	2739
771	9237	2728
772	9248	2715
773	9259	2703
774	9269	2691
775	9280	2678
776	9291	2666
777	9301	2654
778	9313	2642
779	9322	2629
780	9335	2617
781	9356	2608
782	9366	2595
783	9377	2583
784	9388	2571
785	9398	2558
786	9408	2546
787	9418	2534
788	9429	2521
789	9440	2509
790	9452	2497
791	9465	2485
792	9474	2473
793	9484	2460
794	9494	2448
795	9508	2436
796	9518	2424
797	9529	2412
798	9540	2399
799	9550	2387
800	9562	2375
801	9575	2363
802	9586	2351
803	9596	2339
804	9607	2327
805	9616	2314
806	9626	2302
807	9637	2290
808	9651	2278
809	9661	2266
810	9672	2254
811	9682	2241
812	9693	2229
813	9703	2217
814	9714	2205
815	9724	2192
816	9733	2180
817	9743	2167
818	9754	2155
819	9764	2143
820	9774	2131
821	9786	2119
822	9797	2107
823	9810	2095
824	9821	2083
825	9831	2071
826	9841	2058
827	9852	2046
828	9862	2034
829	9873	2022
830	9883	2010
831	9894	1998
832	9906	1985
833	9918	1974
834	9933	1962
835	9944	1950
836	9954	1938
837	9964	1926
838	9974	1913
839	9984	1901
840	9994	1889
841	10004	1877
842	10015	1865
843	10025	1853
844	10037	1841
845	10047	1829
846	10060	1817
847	10070	1805
848	10084	1793
849	10094	1781
850	10105	1769
851	10115	1757
852	10126	1745
853	10138	1733
854	10149	1721
855	10167	1710
856	10180	1698
857	10192	1686
858	10205	1675
859	10215	1663
860	10226	1651
861	10238	1639
862	10249	1627
863	10261	1615
864	10275	1603
865	10289	1592
866	10301	1580
867	10312	1568
868	10322	1556
869	10330	1543
870	10340	1531
871	10350	1519
872	10360	1507
873	10371	1495
874	10387	1483
875	10397	1471
876	10408	1459
877	10418	1447
878	10428	1435
879	10439	1423
880	10449	1411
881	10458	1399
882	10468	1387
883	10478	1374
884	10491	1363
885	10505	1351
886	10519	1340
887	10529	1328
888	10539	1316
889	10550	1304
890	10561	1292
891	10571	1279
892	10581	1267
893	10592	1255
894	10603	1244
895	10615	1232
896	10628	1220
897	10639	1208
898	10649	1196
899	10664	1184
900	10678	1173
901	10688	1161
902	10698	1149
903	10708	1137
904	10720	1125
905	10734	1113
906	10745	1101
907	10756	1089
908	10767	1077
909	10781	1066
910	10791	1054
911	10805	1042
912	10816	1030
913	10826	1018
914	10837	1006
915	10849	994
916	10863	983
917	10873	971
918	10884	959
919	10894	947
920	10906	935
921	10916	923
922	10927	911
923	10939	899
924	10957	888
925	10971	876
926	10984	864
927	10995	853
928	11008	841
929	11019	829
930	11030	817
931	11040	805
932	11052	793
933	11063	781
934	11076	770
935	11094	758
936	11105	746
937	11116	734
938	11131	723
939	11143	711
940	11157	699
941	11168	687
942	11183	675
943	11197	664
944	11207	652
945	11218	640
946	11236	628
947	11248	617
948	11260	605
949	11273	593
950	11284	581
951	11294	569
952	11305	557
953	11317	545
954	11330	533
955	11340	521
956	11352	510
957	11363	498
958	11378	486
959	11389	474
960	11401	462
961	11411	450
962	11423	438
963	11437	427
964	11448	415
965	11460	403
966	11473	391
967	11483	379
968	11494	367
969	11505	355
970	11518	344
971	11534	332
972	11547	320
973	11559	308
974	11572	296
975	11581	284
976	11593	272
977	11604	261
978	11617	249
979	11627	237
980	11638	225
981	11649	213
982	11664	201
983	11682	189
984	11693	178
985	11706	166
986	11717	154
987	11727	142
988	11738	130
989	11750	118
990	11765	106
991	11775	94
992	11785	83
993	11796	71
994	11809	59
995	11822	47
996	11834	35
997	11846	23
998	11859	11
999	11870	0
