feature,mean_abs_shap
cat__Contract_Month-to-month,0.6047089
num__tenure,0.39734796
cat__OnlineSecurity_No,0.24419709
cat__InternetService_Fiber optic,0.19907728
cat__PaymentMethod_Electronic check,0.17035961
cat__TechSupport_No,0.16877817
cat__Contract_Two year,0.14509794
num__MonthlyCharges,0.13127632
num__avg_monthly_spend,0.13118686
cat__PaperlessBilling_No,0.11764924
cat__MultipleLines_No,0.09901255
num__TotalCharges,0.08768327
cat__OnlineBackup_No,0.08387293
num__spend_growth_ratio,0.055260256
cat__StreamingMovies_Yes,0.04961838
cat__StreamingTV_Yes,0.036960408
cat__Dependents_No,0.03546068
cat__SeniorCitizen_0,0.031396657
cat__tenure_bucket_0-12,0.02262312
cat__Contract_One year,0.018116953
num__num_services,0.011843551
cat__DeviceProtection_No,0.011726171
cat__InternetService_DSL,0.011564529
cat__gender_Female,0.0105441725
cat__PhoneService_No,0.010113751
cat__Dependents_Yes,0.008002777
cat__PaperlessBilling_Yes,0.007797703
cat__InternetService_No,0.007724732
cat__TechSupport_Yes,0.00475887
cat__PhoneService_Yes,0.0026609756
cat__Partner_No,0.0023422844
cat__StreamingTV_No,0.002122147
cat__OnlineBackup_Yes,0.0019148099
cat__MultipleLines_Yes,0.0018357327
cat__StreamingMovies_No,0.0015717961
cat__DeviceProtection_Yes,0.0011256975
cat__SeniorCitizen_1,0.0009889853
cat__PaymentMethod_Bank transfer (automatic),0.0005016248
cat__MultipleLines_No phone service,0.0
cat__Partner_Yes,0.0
cat__gender_Male,0.0
cat__TechSupport_No internet service,0.0
cat__OnlineSecurity_Yes,0.0
cat__OnlineSecurity_No internet service,0.0
cat__OnlineBackup_No internet service,0.0
cat__DeviceProtection_No internet service,0.0
cat__StreamingTV_No internet service,0.0
cat__StreamingMovies_No internet service,0.0
cat__PaymentMethod_Credit card (automatic),0.0
cat__PaymentMethod_Mailed check,0.0
cat__tenure_bucket_12-24,0.0
cat__tenure_bucket_24-48,0.0
cat__tenure_bucket_48-60,0.0
cat__tenure_bucket_60-72,0.0
